FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations
17493.7*A,ND68,VINING,WHEATLAND,ND,AGL,DMA,PR,46-57-20.9090N,097-18-04.3200W,PR,,NON-NPIAS,,N,,,2,190 
19289.2*A,H04,VINITA MUNI,VINITA,OK,ASW,AOK,PU,36-36-57.6100N,095-09-06.1000W,PU,,General Aviation,,N,,,14,10500 
06484.11*A,K64,VINLAND VALLEY AERODROME,BALDWIN CITY,KS,ACE,NONE,PU,38-50-10.0700N,095-10-55.3300W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,20,1100 
23220.*A,TN17,VINTAGE FIELD,SWEETWATER,TN,ASO,MEM,PR,35-34-56.2670N,084-29-16.7460W,PR,,NON-NPIAS,,N,,,2,0 
04120.*A,3GA9,VINTAGE FLD,ZEBULON,GA,ASO,ATL,PR,33-08-00.4400N,084-22-38.7220W,PR,,NON-NPIAS,,N,,,4,0 
18123.1*A,22I,VINTON COUNTY,MC ARTHUR,OH,AGL,DET,PU,39-19-41.2500N,082-26-30.5580W,PU,,General Aviation,,N,100LL,INSTR  RNTL,14,5225 
06394.61*A,VTI,VINTON VETERANS MEMORIAL ARPK,VINTON,IA,ACE,NONE,PU,42-13-07.1000N,092-01-33.3000W,PU,,General Aviation,,N,100LLA    MOGAS,,21,4750 
03644.*A,4GE1,VIOLA FARM,ATTAPULGUS,GA,ASO,ATL,PR,30-43-25.5000N,084-32-28.0000W,PR,,NON-NPIAS,,N,,,0,0 
03616.4*H,2GE6,VIRGIL,ALBANY,GA,ASO,ATL,PR,31-35-43.0000N,084-25-22.0000W,PR,,NON-NPIAS,,N,,,0,0 
16030.3*H,NY39,VIRGIL EXCAVATION,ROCHESTER,NY,AEA,NYC,PR,43-07-50.0000N,077-44-01.0000W,PR,,NON-NPIAS,,N,100LLMOGAS,,0,0 
05110.*A,BFR,VIRGIL I GRISSOM MUNI,BEDFORD,IN,AGL,CHI,PU,38-50-24.1000N,086-26-43.3000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,24,4651 
26043.*A,42VA,VIRGINIA BEACH,VIRGINIA BEACH,VA,AEA,DCA,PR,36-40-44.0550N,076-01-57.9950W,PR,,NON-NPIAS,,N,,,54,0 
26043.12*H,2VA7,VIRGINIA BEACH GENERAL HOSPITAL,VIRGINIA BEACH,VA,AEA,DCA,PR,36-51-58.5330N,076-01-32.7520W,PR,,NON-NPIAS,,N,,,0,0 
26043.16*H,56VA,VIRGINIA BEACH MUNI,VIRGINIA BEACH,VA,AEA,DCA,PR,36-45-03.5390N,076-03-29.7550W,PU,,NON-NPIAS,,N,,,0,0 
25977.22*H,7VA7,VIRGINIA DMV HEADQUARTERS,RICHMOND,VA,AEA,DCA,PR,37-33-41.0000N,077-27-44.0000W,PR,,NON-NPIAS,,N,,,0,0 
06394.62*H,IA78,VIRGINIA GAY HOSPITAL,VINTON,IA,ACE,NONE,PR,42-10-28.2000N,092-00-48.0000W,PR,,NON-NPIAS,,N,,,0,0 
25600.*A,VJI,VIRGINIA HIGHLANDS,ABINGDON,VA,AEA,DCA,PU,36-41-13.5691N,082-01-59.9761W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,46,15592 
11046.61*H,MN16,VIRGINIA REGIONAL HOSPITAL,VIRGINIA,MN,AGL,DMA,PR,47-31-53.0000N,092-32-53.0000W,PR,,NON-NPIAS,,N,,,0,0 
25644.*A,BCB,VIRGINIA TECH/MONTGOMERY EXECUTIVE,BLACKSBURG,VA,AEA,DCA,PU,37-12-27.5000N,080-24-28.2000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,30,18958 
27643.8*A,Y51,VIROQUA MUNI,VIROQUA,WI,AGL,CHI,PU,43-34-45.6970N,090-53-47.3070W,PU,,General Aviation,,N,100LL,INSTR,22,9600 
14389.*H,85NJ,VIRTUA-VOORHEES HOSPITAL,VOORHEES,NJ,AEA,HAR,PR,39-50-48.9100N,074-55-37.2000W,PR,,NON-NPIAS,,N,,,0,0 
02413.*A,VIS,VISALIA MUNI,VISALIA,CA,AWP,SFO,PU,36-19-07.1000N,119-23-34.3000W,PU,,General Aviation,,N,100LLA,AVNCS  CHTR  INSTR  RNTL,153,34700 
50870.18*C,T66,VISNAW LAKE,WASILLA,AK,AAL,NONE,PU,61-37-08.4400N,149-40-42.8200W,PU,,NON-NPIAS,,N,,,20,1540 
13089.73*H,2NV3,VISTA DEL MONTE LOT 55,MESQUITE,NV,AWP,PHX,PR,36-50-16.1207N,114-03-01.5755W,PR,,NON-NPIAS,,N,,,0,0 
05052.1*H,7LL1,VISTA MEDICAL CENTER WEST,WAUKEGAN,IL,AGL,CHI,PR,42-21-28.0790N,087-51-56.2600W,PR,,NON-NPIAS,,N,,,0,0 
05052.12*H,7LL2,VISTA MEDICAL CENTER-EAST,WAUKEGAN,IL,AGL,CHI,PR,42-22-43.0780N,087-49-57.2570W,PR,,NON-NPIAS,,N,,,0,0 
04822.6*H,8IS8,VISTA SURGERY CENTER,LINDENHURST,IL,AGL,CHI,PR,42-24-46.4000N,088-03-24.8000W,PR,,NON-NPIAS,,N,,,0,0 
07775.*A,3F4,VIVIAN,VIVIAN,LA,ASW,LNM,PU,32-51-40.8000N,094-00-36.5530W,PU,,General Aviation,,N,100LL,AGRI  INSTR  PAJA,5,11000 
09944.2*A,1MI8,VLACHOS ACRES,HUBBARD,MI,AGL,DET,PR,44-50-48.0400N,083-38-12.9300W,PR,,NON-NPIAS,,N,,,0,0 
14396.*A,6NJ1,VLIET,WASHINGTON,NJ,AEA,HAR,PR,40-44-25.3580N,074-57-24.6120W,PR,,NON-NPIAS,,N,,,1,0 
13073.1*A,NV26,VOC TECH,HENDERSON,NV,AWP,PHX,PR,36-04-44.9060N,115-04-07.9860W,PU,,NON-NPIAS,,N,,,5,0 
04625.72*A,IS15,VODDEN,ESMOND,IL,AGL,CHI,PR,42-01-57.0980N,088-54-09.3400W,PR,,NON-NPIAS,,N,,,2,0 
04899.686*A,IS41,VOGEN RLA,NEWARK,IL,AGL,CHI,PR,41-27-39.1120N,088-35-31.2600W,PR,,NON-NPIAS,,N,,,1,0 
04099.11*H,GA51,VOGTLE ELECTRIC GENERATING PLANT,WAYNESBORO,GA,ASO,ATL,PR,33-07-30.5440N,081-44-43.4060W,PR,,NON-NPIAS,,N,,,0,0 
27085.*A,VOK,VOLK FIELD,CAMP DOUGLAS,WI,AGL,CHI,PR,43-56-21.2550N,090-15-11.3850W,MA,,NON-NPIAS,,Y,115  B+,CARGO,0,0 
05874.7*A,97IA,VOLKENS FIELD,CARSON,IA,ACE,NONE,PR,41-15-21.0000N,095-28-36.0000W,PR,,NON-NPIAS,,N,,,1,0 
17465.2*A,ND41,VOLLER,STRASBURG,ND,AGL,DMA,PR,46-08-04.9600N,100-06-47.4110W,PR,,NON-NPIAS,,N,,,1,0 
05140.12*H,6IN0,VOLMEDICS,BRAZIL,IN,AGL,CHI,PR,39-28-28.2300N,087-03-49.1100W,PR,,NON-NPIAS,,N,,,0,0 
04411.5*A,IL29,VON ALVENS AIRVIEW,BEECHER,IL,AGL,CHI,PR,41-18-00.1220N,087-39-00.1410W,PR,,NON-NPIAS,,N,,,0,0 
06918.5*A,2KS8,VONADA,SYLVAN GROVE,KS,ACE,NONE,PR,39-07-00.0320N,098-24-01.2200W,PR,,NON-NPIAS,,N,,,1,0 
50062.01*C,2A4,VOR LAKE WATERLANE,BETTLES,AK,AAL,NONE,PU,66-53-14.8000N,151-29-38.9000W,PU,,NON-NPIAS,,N,100LL,,8,500 
11302.*H,35M,VORTEX,LONG BEACH,MS,ASO,JAN,PU,30-23-19.0000N,089-09-55.0000W,PR,,NON-NPIAS,,N,100LL,,0,8640 
07669.18*H,37LS,VORTEX 2,NEW IBERIA,LA,ASW,LNM,PR,30-01-48.8000N,091-52-19.5800W,PR,,NON-NPIAS,,N,,,0,0 
01476.12*A,5CN4,VOSBURGH AIRFIELD,CUYAMA,CA,AWP,LAX,PR,34-55-25.0800N,119-34-17.4000W,PR,,NON-NPIAS,,N,,,1,0 
27761.*A,WY29,VOWERS RANCH,CHUGWATER,WY,ANM,DEN,PR,41-37-19.9090N,104-47-06.8820W,PR,,NON-NPIAS,,N,,,2,0 
27677.*A,9WN2,VOYAGER VILLAGE AIRSTRIP,WEBSTER,WI,AGL,CHI,PR,45-57-59.7980N,092-08-45.6760W,PR,,NON-NPIAS,,N,,,2,0 
02567.13*H,CO40,VTOL,DENVER,CO,ANM,DEN,PR,39-44-33.9520N,104-59-36.9340W,PR,,NON-NPIAS,,N,,,0,0 
24726.14*A,6X8,VULTURES ROW,SANGER,TX,ASW,TEX,PU,33-20-24.0000N,097-06-11.0000W,PR,,NON-NPIAS,,N,,,1,50 
09977.01*H,06MI,W A FOOTE MEMORIAL HOSPITAL,JACKSON,MI,AGL,DET,PR,42-15-04.0000N,084-23-29.0000W,PR,,NON-NPIAS,,N,,,0,0 
23973.71*A,7XS3,W C RANCH,GRAPELAND,TX,ASW,TEX,PR,31-28-35.6390N,095-38-05.8310W,PR,,NON-NPIAS,,N,,,0,0 
24298.5*A,XS07,W D CORNELIUS RANCH,MARKHAM,TX,ASW,TEX,PR,28-57-00.9300N,096-03-35.8570W,PR,,NON-NPIAS,,N,,,0,0 
04543.1*A,IL87,W DAVIS,COMPTON,IL,AGL,CHI,PR,41-42-40.1110N,089-06-44.3260W,PR,,NON-NPIAS,,N,,,3,0 
03766.*A,DBN,W H 'BUD' BARRON,DUBLIN,GA,ASO,ATL,PU,32-33-53.0000N,082-59-05.9000W,PU,,General Aviation,,N,100LLA1+,AGRI  CHTR  INSTR  RNTL,25,24950 
24896.*A,TA70,W J E,TENNESSEE COLONY,TX,ASW,TEX,PR,31-47-00.6060N,095-53-50.8650W,PU,,NON-NPIAS,,N,,,2,0 
09548.*A,BTL,W K KELLOGG,BATTLE CREEK,MI,AGL,DET,PU,42-18-23.3021N,085-15-00.3202W,PU,IV A U 11/1974,General Aviation,,Y,100LLA,AFRT  AVNCS  CHTR  INSTR  RNTL  SALES,102,82457 
22762.1*A,SD57,W L THOMPSON,PIERRE,SD,AGL,DMA,PR,44-33-59.9290N,100-45-01.5220W,PR,,NON-NPIAS,,N,,,1,0 
16785.02*A,8NC9,W N C  AIR MUSEUM,HENDERSONVILLE,NC,ASO,MEM,PR,35-18-26.0000N,082-26-01.0000W,PR,,NON-NPIAS,,N,,,35,0 
20999.01*H,P99,W P H S,MOUNT PLEASANT,PA,AEA,HAR,PU,40-06-30.2600N,079-32-53.1380W,PR,,NON-NPIAS,,N,A,AVNCS  SALES,0,1288 
01335.12*A,44CA,W R BYRON,BLYTHE,CA,AWP,LAX,PR,33-40-45.0810N,114-38-36.8520W,PR,,NON-NPIAS,,N,,,1,0 
20253.*H,9PS7,W S  LEE & SONS INC,DUNCANSVILLE,PA,AEA,HAR,PR,40-26-50.0000N,078-25-44.0000W,PR,,NON-NPIAS,,N,,,0,0 
00508.22*H,36AA,W. M. THOMAS PAD,SAWYERVILLE,AL,ASO,NONE,PR,32-43-00.6100N,087-44-58.2900W,PR,,NON-NPIAS,,N,,,0,0 
24382.02*A,84TE,W4 RANCH,MORGAN,TX,ASW,TEX,PR,31-59-17.0400N,097-32-35.4500W,PR,,NON-NPIAS,,N,,,1,0 
10716.01*C,9MN2,WABANA,GRAND RAPIDS,MN,AGL,DMA,PR,47-24-37.3800N,093-31-16.9260W,PR,,NON-NPIAS,,N,,,1,0 
04886.01*H,67IS,WABASH GENERAL HOSPITAL,MOUNT CARMEL,IL,AGL,CHI,PR,38-25-17.1690N,087-46-10.1030W,PR,,NON-NPIAS,,N,,,0,0 
05720.*A,IWH,WABASH MUNI,WABASH,IN,AGL,CHI,PU,40-45-43.1000N,085-47-55.5000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL,15,4425 
09863.1*A,MI80,WABASIS LAKE,GREENVILLE,MI,AGL,DET,PR,43-07-42.1060N,085-23-57.0900W,PR,,NON-NPIAS,,N,80,,2,0 
18585.*A,1WF,WACO FIELD,TROY,OH,AGL,DET,PU,40-00-53.1500N,084-11-53.0000W,PR,,NON-NPIAS,,N,,,1,0 
24976.*A,ACT,WACO RGNL,WACO,TX,ASW,TEX,PU,31-36-43.9000N,097-13-49.1000W,PU,I A S 05/1973,Primary,Non-Hub,Y,100LLA,CHTR,43,33770 
05038.911*A,56LL,WADE,WATERMAN,IL,AGL,CHI,PR,41-45-18.1060N,088-46-16.2960W,PR,,NON-NPIAS,,N,,,14,0 
11422.011*A,MS35,WADE,ROLLING FORK,MS,ASO,JAN,PR,32-58-52.4510N,090-57-55.3720W,PR,,NON-NPIAS,,N,100,,7,0 
26888.*A,6W0,WADE F MALEY FIELD,SHINNSTON,WV,AEA,BKW,PU,39-24-22.0000N,080-16-36.7000W,PR,,NON-NPIAS,,N,,,4,300 
11165.1*A,MS76,WADE FIELD,CALHOUN CITY,MS,ASO,JAN,PR,33-46-22.4150N,089-14-33.2490W,PR,,NON-NPIAS,,N,,,4,0 
11047.01*A,ADC,WADENA MUNI,WADENA,MN,AGL,DMA,PU,46-26-59.8020N,095-12-38.9953W,PU,,General Aviation,,N,100LLMOGAS,INSTR  RNTL,10,5410 
24904.49*H,64XS,WADLEY RGNL MEDICAL CENTER,TEXARKANA,TX,ASW,TEX,PR,33-25-45.5570N,094-02-20.6680W,PR,,NON-NPIAS,,N,,,0,300 
18621.1*A,3G3,WADSWORTH MUNI,WADSWORTH,OH,AGL,DET,PU,41-00-11.3660N,081-45-23.1842W,PU,,General Aviation,,N,100LLA1+,CHTR  GLD  INSTR  RNTL,67,15325 
18621.11*H,47OI,WADSWORTH-RITTMAN HOSPITAL,WADSWORTH,OH,AGL,DET,PR,41-01-40.1950N,081-45-03.4710W,PU,,NON-NPIAS,,N,,,0,0 
27340.95*A,WI92,WAG-AERO,LYONS,WI,AGL,CHI,PR,42-39-40.0590N,088-21-40.3390W,PR,,NON-NPIAS,,N,,,18,0 
20760.11*A,1PA4,WAGNER,LEWISTOWN,PA,AEA,HAR,PR,40-33-09.2600N,077-37-11.9700W,PR,,NON-NPIAS,,N,,,1,0 
24462.01*H,TS43,WAGNER,PALACIOS,TX,ASW,TEX,PR,28-42-58.9640N,096-12-50.8800W,PR,,NON-NPIAS,,N,100LLMOGAS,,0,0 
22865.01*A,1TN3,WAGNER FIELD,BELVIDERE,TN,ASO,MEM,PR,35-08-22.8000N,086-13-19.8000W,PR,,NON-NPIAS,,N,,,2,0 
18657.01*A,OI06,WAGNER INTL,WEST MILTON,OH,AGL,DET,PR,39-59-29.1910N,084-17-29.8050W,PR,,NON-NPIAS,,N,,,4,0 
22815.*A,AGZ,WAGNER MUNI,WAGNER,SD,AGL,DMA,PU,43-03-50.9981N,098-17-46.9755W,PU,,General Aviation,,N,100LL,AGRI,12,3120 
09676.*H,11MI,WAGNER'S LANDING,CLARKSTON,MI,AGL,DET,PR,42-44-18.1050N,083-26-14.7910W,PR,,NON-NPIAS,,N,,,0,0 
19595.3*A,4OR8,WAGONER,SALEM,OR,ANM,SEA,PR,44-50-54.4330N,123-02-29.3430W,PR,,NON-NPIAS,,N,,,1,0 
19292.01*H,87OK,WAGONER COMMUNITY HOSPITAL,WAGONER,OK,ASW,AOK,PR,35-57-00.3380N,095-03-00.8480W,PR,,NON-NPIAS,,N,,,0,0 
27772.3*A,WY27,WAGONHOUND,DOUGLAS,WY,ANM,DEN,PR,42-35-12.0000N,105-32-18.0000W,PR,,NON-NPIAS,,N,,,1,0 
19377.1*A,81OR,WAGONTIRE,BURNS,OR,ANM,SEA,PR,43-14-59.5370N,119-52-30.8630W,PR,,NON-NPIAS,,N,MOGAS,,0,0 
16410.*H,1NK4,WAGSTAFF,WEST ISLIP,NY,AEA,NYC,PR,40-41-12.3580N,073-18-15.4280W,PR,,NON-NPIAS,,N,,,0,0 
12964.*A,AHQ,WAHOO MUNI,WAHOO,NE,ACE,NONE,PU,41-14-26.1890N,096-35-40.3980W,PU,,General Aviation,,N,100LLA,AGRI  INSTR  RNTL,35,16350 
52589.1*H,HI07,WAIKOLOA,WAIKOLOA VILLAGE,HI,AWP,HNL,PR,19-54-49.0190N,155-51-49.9820W,PR,,NON-NPIAS,,N,,,0,6000 
52276.*A,MUE,WAIMEA-KOHALA,KAMUELA,HI,AWP,HNL,PU,20-00-04.7770N,155-40-05.1860W,PU,,Commercial Service,,N,,,6,4720 
09110.1*H,19MA,WAINE,NANTUCKET,MA,ANE,NONE,PR,41-17-06.4430N,070-08-59.0610W,PR,,NON-NPIAS,,N,,,0,0 
50855.2*A,AWI,WAINWRIGHT,WAINWRIGHT,AK,AAL,NONE,PU,70-38-16.8000N,159-59-41.1000W,PU,,Commercial Service,,N,,CARGO,0,1100 
50855.1*A,AK03,WAINWRIGHT AS,WAINWRIGHT,AK,AAL,NONE,PR,70-36-48.1600N,159-51-37.2600W,MA,,NON-NPIAS,,N,,CARGO,0,110 
20804.12*A,38PN,WAISLEY,MC KEAN,PA,AEA,HAR,PR,42-00-00.1990N,080-09-59.2080W,PR,,NON-NPIAS,,N,,,1,0 
09770.7*A,29M,WAITE FIELD,DURAND,MI,AGL,DET,PU,42-53-26.6000N,083-55-55.3510W,PR,,NON-NPIAS,,N,,,0,100 
51540.*A,AWK,WAKE ISLAND AIRFIELD,WAKE ISLAND,WQ,AWP,HNL,PR,19-16-56.9650N,166-38-11.9800E,MA,,NON-NPIAS,,N,,,0,17893 
17034.3*H,0NC4,WAKE MEDICAL CENTER,RALEIGH,NC,ASO,MEM,PR,35-47-12.5450N,078-35-09.0080W,PU,,NON-NPIAS,,N,,,1,0 
26047.5*A,AKQ,WAKEFIELD MUNI,WAKEFIELD,VA,AEA,DCA,PU,36-59-14.0000N,077-00-04.1000W,PU,,NON-NPIAS,,N,100LL,AGRI,24,19203 
16589.2*H,04NC,WAKEMED CARY HOSPITAL,CARY,NC,ASO,MEM,PR,35-44-21.0000N,078-46-56.0000W,PU,,NON-NPIAS,,N,,,0,0 
19633.5*A,R33,WAKONDA BEACH STATE,WALDPORT,OR,ANM,SEA,PU,44-23-04.4300N,124-05-06.4300W,PU,,NON-NPIAS,,N,,,2,830 
03427.*A,2J0,WAKULLA COUNTY,PANACEA,FL,ASO,ORL,PU,29-59-22.0400N,084-23-43.4100W,PU,,NON-NPIAS,,N,,,15,2380 
15037.01*H,5NY9,WALASH,CHESTER,NY,AEA,NYC,PR,41-19-32.0000N,074-18-25.0000W,PR,,NON-NPIAS,,N,,,0,0 
50585.11*C,AA85,WALBY LAKE,PALMER,AK,AAL,NONE,PR,61-36-59.1100N,149-13-15.7100W,PR,,NON-NPIAS,,N,,,5,0 
11716.09*A,MO58,WALDEMER FLYING W RANCH,FAIRDEALING,MO,ACE,NONE,PR,36-39-30.2040N,090-38-25.4210W,PR,,NON-NPIAS,,N,,,2,0 
25067.01*H,27TS,WALDEN RANCH,WYLIE,TX,ASW,TEX,PR,33-01-05.4310N,096-30-24.9590W,PR,,NON-NPIAS,,N,,,3,0 
02750.*A,33V,WALDEN-JACKSON COUNTY,WALDEN,CO,ANM,DEN,PU,40-45-01.4000N,106-16-17.5000W,PU,,NON-NPIAS,,N,100LLA,,10,1000 
23151.53*H,6TN0,WALDENS CREEK,PIGEON FORGE,TN,ASO,MEM,PR,35-47-25.3230N,083-36-24.6050W,PR,,NON-NPIAS,,N,,,0,0 
17404.5*A,67ND,WALDIE FARMS,MARION,ND,AGL,DMA,PR,46-32-35.9130N,098-22-56.3410W,PR,,NON-NPIAS,,N,,,1,0 
12087.*A,45MO,WALDMEISTER FARM,ST PETERS,MO,ACE,NONE,PR,38-50-50.1840N,090-38-20.4430W,PR,,NON-NPIAS,,N,,,2,0 
23662.*A,NWL,WALDRON FLD NOLF,CORPUS CHRISTI,TX,ASW,TEX,PR,27-38-06.0000N,097-18-44.0000W,PU,,NON-NPIAS,,Y,,,0,0 
01195.51*A,M27,WALDRON MUNI,WALDRON,AR,ASW,AOK,PU,34-52-33.6000N,094-06-32.0000W,PU,,General Aviation,,N,,INSTR,5,5220 
26190.01*A,90WA,WALDRONAIRE,EAST SOUND,WA,ANM,SEA,PR,48-42-42.3720N,123-01-05.6710W,PR,,NON-NPIAS,,N,,,0,0 
50860.*A,IWK,WALES,WALES,AK,AAL,NONE,PU,65-37-21.2000N,168-05-41.9000W,PU,,General Aviation,,N,,,0,300 
08385.9*A,ME6,WALES,WALES,ME,ANE,NONE,PU,44-10-28.3000N,070-01-08.2000W,PR,,NON-NPIAS,,N,,,0,300 
24976.18*A,TE92,WALES AIR FIELD,WACO,TX,ASW,TEX,PR,31-35-39.8300N,097-22-15.1500W,PR,,NON-NPIAS,,N,,,1,0 
17484.4*A,96D,WALHALLA MUNI,WALHALLA,ND,AGL,DMA,PU,48-56-26.9200N,097-54-10.5400W,PU,,General Aviation,,N,100LL,AGRI,6,2910 
24947.06*A,38XA,WALK-AIR,TYLER,TX,ASW,TEX,PR,32-24-29.0000N,095-23-22.0000W,PR,,NON-NPIAS,,N,100LL,,2,0 
26342.83*A,12WT,WALKER,PALOUSE,WA,ANM,SEA,PR,46-54-39.6000N,117-13-07.2000W,PR,,NON-NPIAS,,N,,,1,0 
09693.*A,7MI7,WALKER,COOPER,MI,AGL,DET,PR,42-22-50.1370N,085-34-39.0350W,PR,,NON-NPIAS,,N,,,2,0 
11877.97*A,MO46,WALKER,LOUISANA,MO,ACE,NONE,PR,39-31-13.1659N,091-10-18.5084W,PR,,NON-NPIAS,,N,,,1,0 
19414.*A,OR57,WALKER,CRESWELL,OR,ANM,SEA,PR,43-52-07.4460N,123-02-02.2910W,PR,,NON-NPIAS,,N,,,14,0 
25776.5*H,VG35,WALKER ARMY,FORT MONROE,VA,AEA,DCA,PR,37-01-00.0000N,076-18-00.0000W,PR,,NON-NPIAS,,N,,,0,0 
00401.3*A,JFX,WALKER COUNTY-BEVILL FIELD,JASPER,AL,ASO,JAN,PU,33-54-07.2000N,087-18-49.8000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,49,33616 
06416.1*A,4IA2,WALKER FIELD,WEST LIBERTY,IA,ACE,NONE,PR,41-35-10.0850N,091-13-12.5670W,PR,,NON-NPIAS,,N,,,2,0 
03788.12*A,GA90,WALKER FIELD,FAYETTEVILLE,GA,ASO,ATL,PR,33-27-07.4100N,084-24-33.7300W,PR,,NON-NPIAS,,N,,,0,0 
10504.6*A,MY35,WALKER FIELD,AFTON,MN,AGL,DMA,PR,44-55-51.9800N,092-48-45.0800W,PR,,NON-NPIAS,,N,,,0,0 
26525.2*H,WV14,WALKER I,BELLE,WV,AEA,BKW,PR,38-13-40.3660N,081-31-58.4250W,PR,,NON-NPIAS,,N,,,0,0 
26587.5*H,WV60,WALKER III,CRAB ORCHARD,WV,AEA,BKW,PR,37-44-54.4120N,081-13-20.3620W,PR,,NON-NPIAS,,N,,,0,0 
11051.*A,Y49,WALKER MUNI,WALKER,MN,AGL,DMA,PU,47-09-34.1304N,094-38-43.2481W,PU,,General Aviation,,N,100LL,,14,9200 
00401.02*H,AL63,WALKER RGNL MEDICAL CENTER,JASPER,AL,ASO,JAN,PR,33-50-36.3840N,087-14-02.0170W,PR,,NON-NPIAS,,N,,,0,0 
26868.*H,WV54,WALKER VI,RITA,WV,AEA,BKW,PR,37-46-19.0000N,081-55-58.0000W,PR,,NON-NPIAS,,N,,,0,0 
05740.6*A,4C2,WALKER/ROWE WATERLOO,WATERLOO,IN,AGL,CHI,PU,41-25-52.1810N,084-58-53.8740W,PR,,NON-NPIAS,,N,100LL,,5,2739 
17247.51*A,1ND4,WALKINSHAW,ARGUSVILLE,ND,AGL,DMA,PR,47-03-29.9020N,097-01-01.3060W,PR,,NON-NPIAS,,N,,AGRI,14,4020 
22817.*A,6V4,WALL MUNI,WALL,SD,AGL,DMA,PU,43-59-58.1840N,102-15-16.5880W,PU,,General Aviation,,N,100LL,AGRI,12,3746 
26450.02*H,WN06,WALLA WALLA GENERAL HOSPITAL,WALLA WALLA,WA,ANM,SEA,PR,46-03-21.4910N,118-19-49.8700W,PR,,NON-NPIAS,,N,,,0,0 
26450.*A,ALW,WALLA WALLA RGNL,WALLA WALLA,WA,ANM,SEA,PU,46-05-42.7158N,118-17-09.3978W,PU,I A S 05/1973,Primary,Non-Hub,Y,100LLA,AFRT  AGRI  CHTR  INSTR  RNTL  SALES,117,23652 
05937.03*U,1IA4,WALLACE FIELD,CRESTON,IA,ACE,NONE,PR,41-03-19.9600N,094-23-40.8550W,PR,,NON-NPIAS,,N,MOGAS,,1,0 
12966.*A,64V,WALLACE MUNI,WALLACE,NE,ACE,NONE,PU,40-49-56.0080N,101-09-50.5610W,PU,,General Aviation,,N,,AGRI,13,2675 
10236.*A,M86,WALLE FIELD,PULLMAN,MI,AGL,DET,PU,42-28-15.1090N,086-07-38.1070W,PR,,NON-NPIAS,,N,,,0,25 
50870.44*C,62AK,WALLIS LAKE SPB,WASILLA,AK,AAL,NONE,PR,61-34-22.3000N,149-34-28.9200W,PR,,NON-NPIAS,,N,,,5,0 
01782.1*A,8CA8,WALLOM FIELD,LODI,CA,AWP,SFO,PR,38-04-02.4850N,121-12-27.3440W,PR,,NON-NPIAS,,N,,,1,0 
26047.8*A,WAL,WALLOPS FLIGHT FACILITY,WALLOPS ISLAND,VA,AEA,DCA,PR,37-56-24.7000N,075-27-59.0000W,PU,,NON-NPIAS,,Y,A,,10,0 
00932.8*A,1AR1,WALLS,COY,AR,ASW,AOK,PR,34-31-37.8400N,091-52-21.5900W,PR,,NON-NPIAS,,N,,,1,0 
15198.*A,NY19,WALLS,ELBRIDGE,NY,AEA,NYC,PR,43-02-38.2380N,076-27-42.7710W,PR,,NON-NPIAS,,N,,,1,100 
05000.92*A,49IL,WALNUT CREEK,SOMONAUK,IL,AGL,CHI,PR,41-35-36.0000N,088-41-30.0000W,PR,,NON-NPIAS,,N,,,2,0 
25660.5*A,58VA,WALNUT HILL,CALVERTON,VA,AEA,DCA,PR,38-35-42.4380N,077-38-45.9630W,PR,,NON-NPIAS,,N,,,0,0 
01197.*A,ARG,WALNUT RIDGE RGNL,WALNUT RIDGE,AR,ASW,AOK,PU,36-07-28.8000N,090-55-30.4000W,PU,,General Aviation,,N,100LLA,AFRT  AGRI  INSTR,26,61300 
04848.13*A,64IL,WALPOLE,MARENGO,IL,AGL,CHI,PR,42-14-30.0790N,088-40-00.3420W,PR,,NON-NPIAS,,N,,,9,0 
17441.61*A,97ND,WALSER STRIP,PARK RIVER,ND,AGL,DMA,PR,48-25-50.9740N,097-42-29.3160W,PR,,NON-NPIAS,,N,,,1,0 
07481.01*A,LA90,WALSH,CROWLEY,LA,ASW,LNM,PR,30-27-39.7220N,092-25-34.4780W,PR,,NON-NPIAS,,N,,,2,0 
00810.29*U,13AZ,WALTENBERRY FIELD,TONOPAH,AZ,AWP,PHX,PR,33-32-06.0000N,112-51-12.5000W,PR,,NON-NPIAS,,N,,,0,0 
04567.04*A,0IL8,WALTER,DE KALB,IL,AGL,CHI,PR,41-52-21.1050N,088-43-25.3040W,PR,,NON-NPIAS,,N,,,0,0 
06486.*A,78KS,WALTER A SWALLEY AIRPARK,BAXTER SPRINGS,KS,ACE,NONE,PR,37-01-00.2370N,094-48-00.8210W,PR,,NON-NPIAS,,N,,,0,800 
08941.*A,GBR,WALTER J KOLADZA,GREAT BARRINGTON,MA,ANE,NONE,PU,42-11-03.1710N,073-24-11.6660W,PR,,General Aviation,,N,100LL,CHTR  INSTR  RNTL  SALES,35,41500 
